algorithm,run,metric,step,value
DQN,1,rollout/exploration_rate,30000,0.36669
DQN,1,rollout/exploration_rate,31104,0.34336
DQN,1,rollout/exploration_rate,32256,0.31904
DQN,1,rollout/exploration_rate,33408,0.29472
DQN,1,rollout/exploration_rate,34560,0.2704
DQN,1,rollout/exploration_rate,35000,0.26113
DQN,1,rollout/exploration_rate,35712,0.24608
DQN,1,rollout/exploration_rate,36864,0.22176
DQN,1,rollout/exploration_rate,38016,0.19744
DQN,1,rollout/exploration_rate,39168,0.17312
DQN,1,rollout/exploration_rate,40000,0.15558
DQN,1,rollout/exploration_rate,40320,0.1488
DQN,1,rollout/exploration_rate,41472,0.12448
DQN,1,rollout/exploration_rate,42624,0.10016
DQN,1,rollout/exploration_rate,43776,0.07584
DQN,1,rollout/exploration_rate,44928,0.05152
DQN,1,rollout/exploration_rate,45000,0.05002
DQN,1,rollout/exploration_rate,46080,0.05
DQN,1,rollout/exploration_rate,47232,0.05
DQN,1,rollout/exploration_rate,48384,0.05
DQN,1,rollout/exploration_rate,49536,0.05
DQN,1,rollout/exploration_rate,50000,0.05
DQN,1,rollout/exploration_rate,50688,0.05
DQN,1,rollout/exploration_rate,51840,0.05
DQN,1,rollout/exploration_rate,52992,0.05
DQN,1,rollout/exploration_rate,54144,0.05
DQN,1,rollout/exploration_rate,55000,0.05
DQN,1,rollout/exploration_rate,55296,0.05
DQN,1,rollout/exploration_rate,56448,0.05
DQN,1,rollout/exploration_rate,57600,0.05
DQN,1,rollout/exploration_rate,58752,0.05
DQN,1,rollout/exploration_rate,59904,0.05
DQN,1,rollout/exploration_rate,60000,0.05
DQN,1,rollout/exploration_rate,61056,0.05
DQN,1,rollout/exploration_rate,62208,0.05
DQN,1,rollout/exploration_rate,63360,0.05
DQN,1,rollout/exploration_rate,64512,0.05
DQN,1,rollout/exploration_rate,65000,0.05
DQN,1,rollout/exploration_rate,65664,0.05
DQN,1,rollout/exploration_rate,66816,0.05
DQN,1,rollout/exploration_rate,67968,0.05
DQN,1,rollout/exploration_rate,69120,0.05
DQN,1,rollout/exploration_rate,70000,0.05
DQN,1,rollout/exploration_rate,70272,0.05
DQN,1,rollout/exploration_rate,71424,0.05
DQN,1,rollout/exploration_rate,72576,0.05
DQN,1,rollout/exploration_rate,73728,0.05
DQN,1,rollout/exploration_rate,74880,0.05
DQN,1,rollout/exploration_rate,75000,0.05
DQN,1,rollout/exploration_rate,76032,0.05
DQN,1,rollout/exploration_rate,77184,0.05
DQN,1,rollout/exploration_rate,78336,0.05
DQN,1,rollout/exploration_rate,79488,0.05
DQN,1,rollout/exploration_rate,80000,0.05
DQN,1,rollout/exploration_rate,80640,0.05
DQN,1,rollout/exploration_rate,81792,0.05
DQN,1,rollout/exploration_rate,82944,0.05
DQN,1,rollout/exploration_rate,84096,0.05
DQN,1,rollout/exploration_rate,85000,0.05
DQN,1,rollout/exploration_rate,85248,0.05
DQN,1,rollout/exploration_rate,86400,0.05
DQN,1,rollout/exploration_rate,87552,0.05
DQN,1,rollout/exploration_rate,88704,0.05
DQN,1,rollout/exploration_rate,89856,0.05
DQN,1,rollout/exploration_rate,90000,0.05
DQN,1,rollout/exploration_rate,91008,0.05
DQN,1,rollout/exploration_rate,92160,0.05
DQN,1,rollout/exploration_rate,93312,0.05
DQN,1,rollout/exploration_rate,94464,0.05
DQN,1,rollout/exploration_rate,95000,0.05
DQN,1,rollout/exploration_rate,95616,0.05
DQN,1,rollout/exploration_rate,96768,0.05
DQN,1,rollout/exploration_rate,97920,0.05
DQN,1,rollout/exploration_rate,99072,0.05
DQN,1,rollout/exploration_rate,100000,0.05
DQN,1,rollout/exploration_rate,100224,0.05
DQN,1,rollout/exploration_rate,101376,0.05
DQN,1,rollout/exploration_rate,102528,0.05
DQN,1,rollout/exploration_rate,103680,0.05
DQN,1,rollout/exploration_rate,104832,0.05
DQN,1,rollout/exploration_rate,105000,0.05
DQN,1,rollout/exploration_rate,105984,0.05
DQN,1,rollout/exploration_rate,107136,0.05
DQN,1,rollout/exploration_rate,108288,0.05
DQN,1,rollout/exploration_rate,109440,0.05
DQN,1,rollout/exploration_rate,110000,0.05
DQN,1,rollout/exploration_rate,110592,0.05
DQN,1,rollout/exploration_rate,111744,0.05
DQN,1,rollout/exploration_rate,112896,0.05
DQN,1,rollout/exploration_rate,114048,0.05
DQN,1,rollout/exploration_rate,115000,0.05
DQN,1,rollout/exploration_rate,115200,0.05
DQN,1,rollout/exploration_rate,116352,0.05
DQN,1,rollout/exploration_rate,117504,0.05
DQN,1,rollout/exploration_rate,118656,0.05
DQN,1,rollout/exploration_rate,119808,0.05
DQN,1,rollout/exploration_rate,120000,0.05
DQN,1,rollout/exploration_rate,120960,0.05
DQN,1,rollout/exploration_rate,122112,0.05
DQN,1,rollout/exploration_rate,123264,0.05
DQN,1,rollout/exploration_rate,124416,0.05
DQN,1,rollout/exploration_rate,125000,0.05
DQN,1,rollout/exploration_rate,125568,0.05
DQN,1,rollout/exploration_rate,126720,0.05
DQN,1,rollout/exploration_rate,127872,0.05
DQN,1,rollout/exploration_rate,129024,0.05
DQN,1,rollout/exploration_rate,130000,0.05
DQN,1,rollout/exploration_rate,130176,0.05
DQN,1,rollout/exploration_rate,131328,0.05
DQN,1,rollout/exploration_rate,132480,0.05
DQN,1,rollout/exploration_rate,133632,0.05
DQN,1,rollout/exploration_rate,134784,0.05
DQN,1,rollout/exploration_rate,135000,0.05
DQN,1,rollout/exploration_rate,135936,0.05
DQN,1,rollout/exploration_rate,137088,0.05
DQN,1,rollout/exploration_rate,138240,0.05
DQN,1,rollout/exploration_rate,139392,0.05
DQN,1,rollout/exploration_rate,140000,0.05
DQN,1,rollout/exploration_rate,140544,0.05
DQN,1,rollout/exploration_rate,141696,0.05
DQN,1,rollout/exploration_rate,142848,0.05
DQN,1,rollout/exploration_rate,144000,0.05
DQN,1,rollout/exploration_rate,145000,0.05
DQN,1,rollout/exploration_rate,145152,0.05
DQN,1,rollout/exploration_rate,146304,0.05
DQN,1,rollout/exploration_rate,147456,0.05
DQN,1,rollout/exploration_rate,148608,0.05
DQN,1,rollout/exploration_rate,149760,0.05
DQN,1,rollout/exploration_rate,150000,0.05
